GID	CID	SID	PEDIGREE	Drought_Yield	Irrig_Yield	Irrig_TKW	Irrig_DTH
6000906	507062	97	SOKOLL*2/TROST	4.05	7.94	55.3	83.5
6000909	507062	100	SOKOLL*2/TROST	4.34	8.42	49.7	87
6000917	507064	86	SOKOLL//PBW343*2/KUKUNA/3/ATTILA/PASTOR	4.14	7.94	51.4	86
6000922	507064	91	SOKOLL//PBW343*2/KUKUNA/3/ATTILA/PASTOR	4.41	8.05	51.2	86.5
6000930	507064	99	SOKOLL//PBW343*2/KUKUNA/3/ATTILA/PASTOR	4.49	7.65	47.8	82.5
6000940	507096	42	SW89-5124*2/FASAN/3/ALTAR 84/AE.SQ//2*OPATA/4/ARREHANE	4.17	6.69	47.7	85
6000943	507099	121	SW89-5124*2/FASAN//2*UP262	3.4	6.18	44.4	81
6000965	507101	60	SOKOLL*2/3/BABAX/LR42//BABAX	4.02	7.14	56.1	84.5
6000967	507101	62	SOKOLL*2/3/BABAX/LR42//BABAX	4.51	8.33	49.7	86.5
6000973	507102	57	SOKOLL*2//TACUPETO F2001*2/KUKUNA	4.51	7.61	55	86.5
6000993	507180	125	CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/2*JANZ*2/6/BORL95/2*JANZ//JANZ	4.54	6.63	44.8	85.5
6000999	507236	94	SOKOLL//ATTILA/PASTOR/3/PBW343*2/TUKURU	4.99	7.63	52.3	85.5
6001006	507236	101	SOKOLL//ATTILA/PASTOR/3/PBW343*2/TUKURU	4.86	7.1	51.4	86.5
6001013	506830	98	GK ARON/AG SECO 7846//2180/4/2*MILAN/KAUZ//PRINIA/3/BAV92	4.63	7.84	55.5	91
6001014	506830	99	GK ARON/AG SECO 7846//2180/4/2*MILAN/KAUZ//PRINIA/3/BAV92	4.6	7.64	50.5	85
6001016	506830	101	GK ARON/AG SECO 7846//2180/4/2*MILAN/KAUZ//PRINIA/3/BAV92	4.56	7.02	52.3	91
6001019	506830	104	GK ARON/AG SECO 7846//2180/4/2*MILAN/KAUZ//PRINIA/3/BAV92	4.77	6.74	56	87
6001042	495132	74	TROST/6/CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/PASTOR	4.17	6.35	51.4	81.5
6001043	495132	75	TROST/6/CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/PASTOR	4.33	7.08	49.8	83
6001045	495132	77	TROST/6/CNDO/R143//ENTE/MEXI_2/3/AEGILOPS SQUARROSA (TAUS)/4/WEAVER/5/PASTOR	4.3	7.23	47.9	87
6001054	495163	37	TNMU/ATTILA//SOKOLL	4.01	7.61	48.2	87.5
6001056	495180	79	SOKOLL/TROST	4.18	7.83	49.1	87
6001062	495192	159	SOKOLL/TRCH	4.55	7.29	52	86
6001066	495192	163	SOKOLL/TRCH	4.47	6.68	51.9	86.5
6001072	495230	91	SW89-5124*2/FASAN/3/ALTAR 84/AE.SQ//2*OPATA	4.66	6.25	52.5	85
6001074	495230	93	SW89-5124*2/FASAN/3/ALTAR 84/AE.SQ//2*OPATA	4.48	6.45	50.8	88
6001075	495230	94	SW89-5124*2/FASAN/3/ALTAR 84/AE.SQ//2*OPATA	4.56	5.8	50.3	87
6001077	495230	96	SW89-5124*2/FASAN/3/ALTAR 84/AE.SQ//2*OPATA	4.52	6.08	52.4	86
6001081	495230	100	SW89-5124*2/FASAN/3/ALTAR 84/AE.SQ//2*OPATA	4.56	5.94	49.4	86
6001082	495230	101	SW89-5124*2/FASAN/3/ALTAR 84/AE.SQ//2*OPATA	4.51	6.09	51.1	86.5
6001087	495241	85	SOKOLL//TACUPETO F2001*2/KUKUNA	4.64	6.93	58.6	86
6001089	495241	87	SOKOLL//TACUPETO F2001*2/KUKUNA	4.59	7.84	57	85
6001090	495241	88	SOKOLL//TACUPETO F2001*2/KUKUNA	4.4	7.47	57.9	85
6001091	495241	89	SOKOLL//TACUPETO F2001*2/KUKUNA	4.15	7.6	53.2	85
6001093	495241	91	SOKOLL//TACUPETO F2001*2/KUKUNA	4.74	8.02	55.1	83
6001104	495357	46	CETA/AE.SQUARROSA (327)//2*JANZ/3/SOKOLL	4.39	7.45	47.3	86.5
